Time,同美国进口总额(千美元),  同美国出口总额(千美元)
2000/1/1,1596346,3418449
2000/2/1,1304670,3055219
2000/3/1,1760067,3986851
2000/4/1,1986613,4161844
2000/5/1,1707932,4300857
2000/6/1,2257717,4728785
2000/7/1,1824034,4627794
2000/8/1,1865976,5193407
2000/9/1,1921814,5013722
2000/10/1,1730825,4917064
2000/11/1,2187211,4550853
2000/12/1,2221401,4187157
2001/1/1,1497272,3516604
2001/2/1,2073888,3658428
2001/3/1,2126611,4388967
2001/4/1,2310569,4499280
2001/5/1,2100626,4300983
2001/6/1,2413087,4708103
2001/7/1,2402594,4888591
2001/8/1,2553043,5147720
2001/9/1,2326622,5246966
2001/10/1,1816267,4874991
2001/11/1,2067832,4688653
2001/12/1,2515181,4399626
2002/1/1,1841111,4424420
2002/2/1,1627232,4004619
2002/3/1,2203773,4741528
2002/4/1,2443515,5469176
2002/5/1,2024389,5496616
2002/6/1,1956670,5728982
2002/7/1,2630717,6432592
2002/8/1,2453347,6731043
2002/9/1,2667092,7165462
2002/10/1,2071804,6292552
2002/11/1,2714532,6850538
2002/12/1,2593718,6621874
2003/1/1,2699291,6173425
2003/2/1,2079053,4937410
2003/3/1,3155113,6548042
2003/4/1,3169423,7502505
2003/5/1,2886926,7280890
2003/6/1,2486617,7492451
2003/7/1,3151402,8442152
2003/8/1,2385329,8155367
2003/9/1,3032738,9421246
2003/10/1,2519540,8996536
2003/11/1,2733396,8517673
2003/12/1,3584135,9042450
2004/1/1,3269456,7694224
2004/2/1,3994828,6946046
2004/3/1,4082265,9108488
2004/4/1,4350204,9973026
2004/5/1,3432808,9508511
2004/6/1,3658501,1.09E+07
2004/7/1,3783231,1.12E+07
2004/8/1,3738072,1.13E+07
2004/9/1,3397783,1.18E+07
2004/10/1,3067061,1.12E+07
2004/11/1,3839104,1.24E+07
2004/12/1,4039347,1.28E+07
2005/1/1,3477751,1.09E+07
2005/2/1,3081574,9172696
2005/3/1,4550909,1.25E+07
2005/4/1,4407772,1.33E+07
2005/5/1,3849934,1.26E+07
2005/6/1,4211904,1.43E+07
2005/7/1,3987131,1.42E+07
2005/8/1,4290126,1.49E+07
2005/9/1,4336251,1.55E+07
2005/10/1,3593119,1.52E+07
2005/11/1,4139452,1.51E+07
2005/12/1,4809054,1.52E+07
2006/1/1,4127269,1.42E+07
2006/2/1,3679634,1.12E+07
2006/3/1,5703626,1.67E+07
2006/4/1,5474916,1.62E+07
2006/5/1,4619239,1.55E+07
2006/6/1,5093965,1.72E+07
2006/7/1,5289179,1.72E+07
2006/8/1,5271964,1.92E+07
2006/9/1,5396987,1.95E+07
2006/10/1,4489331,1.85E+07
2006/11/1,4808749,1.94E+07
2006/12/1,5267997,1.87E+07
2007/1/1,5234922,1.82E+07
2007/2/1,4094981,1.63E+07
2007/3/1,6681271,1.62E+07
2007/4/1,6317966,1.88E+07
2007/5/1,5349566,1.80E+07
2007/6/1,5660932,1.97E+07
2007/7/1,6030442,2.04E+07
2007/8/1,5954745,2.10E+07
2007/9/1,6045377,2.14E+07
2007/10/1,5626701,2.10E+07
2007/11/1,6525852,2.17E+07
2007/12/1,6337826,2.00E+07
2008/1/1,7066765,1.92E+07
2008/2/1,6052609,1.55E+07
2008/3/1,7100090,1.88E+07
2008/4/1,7808999,2.09E+07
2008/5/1,6921235,2.12E+07
2008/6/1,6563017,2.13E+07
2008/7/1,7213318,2.36E+07
2008/8/1,6531537,2.41E+07
2008/9/1,7128500,2.47E+07
2008/10/1,6198880,2.36E+07
2008/11/1,6165640,2.04E+07
2008/12/1,6747284,1.92E+07
2009/1/1,4954468,1.73E+07
2009/2/1,5412185,1.18E+07
2009/3/1,6196685,1.65E+07
2009/4/1,6582089,1.72E+07
2009/5/1,5738306,1.67E+07
2009/6/1,6136408,1.77E+07
2009/7/1,6317915,2.03E+07
2009/8/1,6286677,1.88E+07
2009/9/1,6922253,2.12E+07
2009/10/1,6182792,2.13E+07
2009/11/1,7196623,2.00E+07
2009/12/1,9534151,2.22E+07
2010/1/1,7756914,1.87E+07
2010/2/1,6441698,1.64E+07
2010/3/1,9462603,1.93E+07
2010/4/1,8607869,2.05E+07
2010/5/1,7400798,2.41E+07
2010/6/1,7811982,2.55E+07
2010/7/1,7919731,2.74E+07
2010/8/1,8639061,2.67E+07
2010/9/1,8985748,2.70E+07
2010/10/1,7077736,2.51E+07
2010/11/1,9732499,2.65E+07
2010/12/1,1.22E+07,2.62E+07
2011/1/1,1.17E+07,2.52E+07
2011/2/1,7835509,1.58E+07
2011/3/1,1.21E+07,2.51E+07
2011/4/1,1.05E+07,2.56E+07
2011/5/1,9989468,2.58E+07
2011/6/1,8900245,2.80E+07
2011/7/1,9071517,3.00E+07
2011/8/1,1.01E+07,3.01E+07
2011/9/1,1.01E+07,3.01E+07
2011/10/1,8530986,2.86E+07
2011/11/1,1.15E+07,3.09E+07
2011/12/1,1.19E+07,2.93E+07
2012/1/1,8858154,2.66E+07
2012/2/1,1.12E+07,1.94E+07
2012/3/1,1.21E+07,2.86E+07
2012/4/1,1.13E+07,2.81E+07
2012/5/1,1.21E+07,3.18E+07
2012/6/1,1.03E+07,3.10E+07
2012/7/1,1.02E+07,3.01E+07
2012/8/1,1.06E+07,3.10E+07
2012/9/1,1.07E+07,3.18E+07
2012/10/1,9514127,3.12E+07
2012/11/1,1.24E+07,3.01E+07
2012/12/1,1.37E+07,3.24E+07
2013/1/1,1.33E+07,3.05E+07
2013/2/1,9660319,2.24E+07
2013/3/1,1.56E+07,2.68E+07
2013/4/1,1.35E+07,2.81E+07
2013/5/1,1.19E+07,3.13E+07
2013/6/1,1.18E+07,2.93E+07
2013/7/1,1.26E+07,3.17E+07
2013/8/1,1.25E+07,3.29E+07
2013/9/1,1.23E+07,3.31E+07
2013/10/1,1.08E+07,3.37E+07
2013/11/1,1.30E+07,3.55E+07
2013/12/1,1.55E+07,3.33E+07
2014/1/1,1.52E+07,3.37E+07
2014/2/1,1.29E+07,1.99E+07
2014/3/1,1.39E+07,2.71E+07
2014/4/1,1.39E+07,3.15E+07
2014/5/1,1.21E+07,3.32E+07
2014/6/1,1.16E+07,3.15E+07
2014/7/1,1.33E+07,3.56E+07
2014/8/1,1.21E+07,3.66E+07
2014/9/1,1.38E+07,3.67E+07
2014/10/1,1.11E+07,3.73E+07
2014/11/1,1.33E+07,3.64E+07
2014/12/1,1.60E+07,3.66E+07
2015/1/1,1.38E+07,3.53E+07
2015/2/1,9547305,2.95E+07
2015/3/1,1.32E+07,2.49E+07
2015/4/1,1.29E+07,3.25E+07
2015/5/1,1.16E+07,3.58E+07
2015/6/1,1.24E+07,3.53E+07
2015/7/1,1.27E+07,3.51E+07
2015/8/1,1.14E+07,3.62E+07
2015/9/1,1.26E+07,3.91E+07
2015/10/1,1.15E+07,3.70E+07
2015/11/1,1.23E+07,3.41E+07
2015/12/1,1.58E+07,3.53E+07
2016/1/1,1.01E+07,3.18E+07
2016/2/1,8185443,2.27E+07
2016/3/1,1.28E+07,2.72E+07
2016/4/1,1.14E+07,2.95E+07
2016/5/1,1.04E+07,3.15E+07
2016/6/1,1.08E+07,3.16E+07
2016/7/1,9748243,3.43E+07
2016/8/1,1.10E+07,3.62E+07
2016/9/1,1.11E+07,3.60E+07
2016/10/1,1.07E+07,3.49E+07
2016/11/1,1.35E+07,3.65E+07
2016/12/1,1.53E+07,3.71E+07
2017/1/1,1.24E+07,3.38E+07
2017/2/1,1.13E+07,2.17E+07
2017/3/1,1.48E+07,3.25E+07
2017/4/1,1.16E+07,3.29E+07
2017/5/1,1.32E+07,3.52E+07
2017/6/1,1.25E+07,3.79E+07
2017/7/1,1.21E+07,3.73E+07
2017/8/1,1.30E+07,3.92E+07
2017/9/1,1.27E+07,4.09E+07
2017/10/1,1.11E+07,3.78E+07
2017/11/1,1.42E+07,4.21E+07
2017/12/1,1.62E+07,4.18E+07
2018/1/1,1.57E+07,3.76E+07
2018/2/1,1.08E+07,3.17E+07
2018/3/1,1.53E+07,3.07E+07
2018/4/1,1.39E+07,3.61E+07
2018/5/1,1.47E+07,3.93E+07
2018/6/1,1.37E+07,4.26E+07
2018/7/1,1.34E+07,4.15E+07
2018/8/1,1.33E+07,4.44E+07
2018/9/1,1.26E+07,4.67E+07
2018/10/1,1.09E+07,4.27E+07
2018/11/1,1.07E+07,4.62E+07
2018/12/1,1.04E+07,4.03E+07
2019/1/1,9240484,3.65E+07
2019/2/1,7943652,2.27E+07
2019/3/1,1.13E+07,3.18E+07
2019/4/1,1.03E+07,3.14E+07
2019/5/1,1.08E+07,3.77E+07
2019/6/1,9359298,3.93E+07
2019/7/1,1.09E+07,3.89E+07
2019/8/1,1.03E+07,3.73E+07
2019/9/1,1.06E+07,3.65E+07
2019/10/1,9338903,3.58E+07
2019/11/1,1.10E+07,3.56E+07
2019/12/1,1.12E+07,3.44E+07
_,,
